queue_rank,old_rank,eligible,processed,fund,usable,missing,missing_fields,official_routes,canonical_web_status,expected_recoverable_fields,score_values_per_minute,age_class,established_year,age_evidence_kind,age_evidence,age_blocked_fields,age_penalty,expected_recoverable_fields_old,reason,fund_index,ico,web,high,medium,low,expected_raw_slots,route_quality,penalty_factor,bonus_factor,expected_minutes,proven_hosts,cached_documents,cached_unexploited,slug
1,2,no,yes,"wincome capital SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,TILLER/Winstor > canonical web,usable,7.975,2.2786,MATURE,,no_age_evidence,,,1.0,7.975,proven official route (TILLER/Winstor); one annual report can answer 4 missing fields; 16 sound cached documents never read,174,,https://www.tillerfunds.cz,4,3,0,5.8,1.0,1.0,1.375,3.5,tillerfunds.cz,47,16,wincome-capital-sicav-a-s
2,3,no,yes,"SCF Investment Partners SICAV, a.s.",2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,7.6875,2.1964,MATURE,,no_age_evidence,,,1.0,7.6875,proven official route (AVANT); one annual report can answer 4 missing fields,163,,https://www.scfinance.cz,3,5,1,6.15,1.0,1.0,1.25,3.5,avantfunds.cz,22,3,scf-investment-partners-sicav-a-s
3,4,no,yes,EDUCA FUND SICAV a.s.,2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,7.625,2.1786,MATURE,,no_age_evidence,,,1.0,7.625,proven official route (AVANT); one annual report can answer 4 missing fields,138,,https://educa.fund,4,3,2,6.1,1.0,1.0,1.25,3.5,avantfunds.cz,6,5,educa-fund-sicav-a-s
4,5,no,yes,TomHol SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AMISTA > canonical web,usable,7.425,2.1214,MATURE,,no_age_evidence,,,1.0,7.425,proven official route (AMISTA); one annual report can answer 4 missing fields; 16 sound cached documents never read,220,,https://tomhol.cz,3,4,0,5.4,1.0,1.0,1.375,3.5,amista.cz,23,16,tomhol-sicav-a-s
5,7,no,yes,"4 Gimel Investments SICAV, a.s.",3,8,minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,6.9375,1.9821,MATURE,2018,recorded_establishment_date,2018-03-22,,1.0,6.9375,proven official route (AVANT); one annual report can answer 4 missing fields,50,,https://www.4gimel.cz/en/,3,4,1,5.550000000000001,1.0,1.0,1.25,3.5,avantfunds.cz,15,5,4-gimel-investments-sicav-a-s
6,9,no,yes,"DIBITI INVESTMENT FUND SICAV, a.s.",2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web > Sbírka listin / ORSL,usable,6.875,1.9643,MATURE,,no_age_evidence,,,1.0,6.875,proven official route (AVANT); one annual report can answer 4 missing fields,16,,https://www.dibiti.com,4,2,2,5.5,1.0,1.0,1.25,3.5,avantfunds.cz,15,7,dibiti-investment-fund-sicav-a-s
7,11,no,yes,"ENPO Group SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web > Sbírka listin / ORSL,usable,6.6875,1.9107,MATURE,,no_age_evidence,,,1.0,6.6875,proven official route (AVANT); one annual report can answer 4 missing fields,247,17784352,https://enpogroup.cz/investice/,4,2,1,5.3500000000000005,1.0,1.0,1.25,3.5,avantfunds.cz,27,4,enpo-group-sicav-a-s
8,12,no,yes,SBS FUNDS SICAV a.s.,4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,canonical web,usable,4.6813,1.8725,MATURE,,no_age_evidence,,,1.0,4.6813,canonical website only; one annual report can answer 4 missing fields,215,,https://www.sbss.cz,4,2,1,5.3500000000000005,0.7,1.0,1.25,2.5,sbss.cz,18,8,sbs-funds-sicav-a-s
9,13,no,yes,"CREDITAS fond SICAV, a.s.",3,8,minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,other official hub > canonical web,usable,6.3938,1.8268,MATURE,,no_age_evidence,,,1.0,6.3938,proven official route (other official hub); one annual report can answer 4 missing fields; 28 sound cached documents never read,15,,https://creditasfondy.cz,3,2,3,4.65,1.0,1.0,1.375,3.5,creditas.cz,31,28,creditas-fond-sicav-a-s
10,15,no,yes,"FLETCHER SICAV, a.s.",4,7,minimum_investment;target_return;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,6.1875,1.7679,MATURE,,no_age_evidence,,,1.0,6.1875,proven official route (AVANT); one annual report can answer 4 missing fields,250,,https://www.avantfunds.cz/informace-o-fondech/,3,3,1,4.95,1.0,1.0,1.25,3.5,avantfunds.cz,35,2,fletcher-sicav-a-s
11,16,no,yes,"NB Investment SICAV, a.s.",2,9,investment_horizon;minimum_investment;target_return;fees;assets_under_management;aum_history;annual_returns;historical_values;news,AVANT > canonical web,usable,6.1875,1.7679,MATURE,,no_age_evidence,,,1.0,6.1875,proven official route (AVANT); one annual report can answer 4 missing fields,277,,https://www.nbinvestment.cz/,0,8,1,4.95,1.0,1.0,1.25,3.5,avantfunds.cz;nbinvestment.cz,9,2,nb-investment-sicav-a-s
